"post_id","additional_short_info","additional_info","is_closed","cinema_image_id","number_of_cinemas","number_of_cinema_halls","number_of_seats","offer_3d","program_announcement_telephone_number","ticket_ordering_hotline","ticket_ordering_url","directions","parking_place","prices","geo_degree_of_latitude","geo_degree_of_longitude","spc_id","ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count","import_source"
3995466,,,n,,,,,n,,"08192-933393",,nicht m,kostenlos direkt am Haus,"normal: 9,50 ?/ erm",48.07617840,11.13747810,,3995466,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Kino Alte Brauerei Stegen,"",publish,open,closed,"",kino-alte-brauerei-stegen,"","",2022-03-04 18:30:17.000,2022-03-04 17:30:17.000,"",0,http://relaunch.kino.de/?company=kino-alte-brauerei-stegen,0,company,"",0,
3995469,,,n,,,,,y,"06471-30090",,,,über 200,Dienstag Kinotag,50.48646480,8.25858170,,3995469,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Delphi Filmtheater,"",publish,open,closed,"",delphi-filmtheater,"","",2015-06-02 11:37:19.000,2015-06-02 09:37:19.000,"",0,http://relaunch.kino.de/?company=delphi-filmtheater,0,company,"",0,
3995471,,,n,,,,,y,"04221-9989123",,,,,,53.05307010,8.62973190,,3995471,1,2001-10-01 12:00:00.000,2001-10-01 13:00:00.000,"",Maxx,"",publish,open,closed,"",maxx,"","",2015-06-02 11:37:20.000,2015-06-02 09:37:20.000,"",0,http://relaunch.kino.de/?company=maxx,0,company,"",0,
3995474,,,n,,,,,n,,,,möglich,Parkplätze in der näheren Umgebung,"Mitglieder 4,50? / Nichtmitglieder 6,00?",49.29851200,10.57227000,,3995474,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Kammerspiele,"",publish,open,closed,"",kammerspiele,"","",2015-06-23 20:06:29.000,2015-06-23 18:06:29.000,"",0,http://relaunch.kino.de/?company=kammerspiele,0,company,"",0,
3995475,,,n,,,,,y,"040-69442442","040-69442442",http://www.uci-kinowelt.de/HH_Smart_City/Programm,,Bequeme Parksituation im benachbarten Parkhaus,,53.58884180,10.09854500,,3995475,1,1999-11-26 12:00:00.000,1999-11-26 13:00:00.000,"<p>Pionier im Multiplex Markt</p>
</p>
<p>United Cinemas International (UCI) betreibt Kinos in Gro",UCI Wandsbek,"",publish,open,closed,"",uci-kinowelt-wandsbek,"","",2022-02-04 21:37:20.000,2022-02-04 20:37:20.000,"",0,http://relaunch.kino.de/?company=uci-kinowelt-wandsbek,0,company,"",0,
3995477,,,n,,,,,n,,,,,,,54.78105680,9.43762130,,3995477,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"","51 Stufen","",publish,open,closed,"","51-stufen","","",2015-06-02 11:37:20.000,2015-06-02 09:37:20.000,"",0,http://relaunch.kino.de/?company=51-stufen,0,company,"",0,
3995482,,,n,12264080,,,,n,,,https://www.kinoheld.de,"",Parkh,"ab 3,50? f",53.08090000,8.81009000,,3995482,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",City 46,"",publish,open,closed,"",city-46,"","",2022-03-12 11:30:23.000,2022-03-12 10:30:23.000,"",0,http://relaunch.kino.de/?company=city-46,0,company,"",0,
3995485,,,n,,,,,y,"02241-958080","02241-958080",,,,,50.79395000,7.20375000,,3995485,111419,1999-01-18 12:00:00.000,1999-01-18 13:00:00.000,"",Cineplex Siegburg,"",publish,open,closed,"",cineplex-siegburg,"","",2017-09-08 15:59:19.000,2017-09-08 13:59:19.000,"",0,http://relaunch.kino.de/?company=cineplex-siegburg,0,company,"",0,
3995486,,,n,,,,,y,,,http://www.cinestar.de/de/kino/frankfurt-am-main-cinestar-mainzer-landstrasse,,,,50.10001330,8.58993900,,3995486,1,2001-10-30 12:00:00.000,2001-10-30 13:00:00.000,"",CineStar - Der Filmpalast,"",publish,open,closed,"",cinestar-der-filmpalast,"","",2022-09-02 11:30:15.000,2022-09-02 09:30:15.000,"",0,http://relaunch.kino.de/?company=cinestar-der-filmpalast,0,company,"",0,
3995488,,,n,,,,,n,,,,,,,,,,3995488,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Leo Hiemer Mobiles Kino,"",publish,open,closed,"",leo-hiemer-mobiles-kino,"","",2017-11-20 13:30:41.000,2017-11-20 12:30:41.000,"",0,http://relaunch.kino.de/?company=leo-hiemer-mobiles-kino,0,company,"",0,
3995490,,,n,,,,,y,"0971-1400",,,Mit der Stadtlinie.,"150 eigene und 150 Stadt-Parkplätze nahe des Kinos.",,50.20600900,10.08170920,,3995490,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Universum Kinopalast,"",publish,open,closed,"",universum-kinopalast,"","",2018-10-15 15:36:13.000,2018-10-15 13:36:13.000,"",0,http://relaunch.kino.de/?company=universum-kinopalast,0,company,"",0,
3995492,,,n,,,,,y,"02131-2380238","02131-2380238",http://www.uci-kinowelt.de/Neuss/Programm,,,,51.20067800,6.69364200,,3995492,1,1999-11-26 12:00:00.000,1999-11-26 13:00:00.000,<p>United Cinemas International (UCI) betreibt Kinos in Gro,UCI Neuss,"",publish,open,closed,"",uci-kinowelt-neuss,"","",2022-02-04 21:37:21.000,2022-02-04 20:37:21.000,"",0,http://relaunch.kino.de/?company=uci-kinowelt-neuss,0,company,"",0,
3995493,,,n,,,,,y,,,http://www.kinopolis.de/ro,,,,47.85144520,12.12639430,,3995493,1,2001-02-12 12:00:00.000,2001-02-12 13:00:00.000,"",Kinopolis Rosenheim,"",publish,open,closed,"",citydome-2,"","",2022-04-01 14:30:29.000,2022-04-01 12:30:29.000,"",0,http://relaunch.kino.de/?company=citydome-2,0,company,"",0,
3995495,,D-Box Motion Seats in 2 S,n,14624792,,,,y,,"03871-2114040",,"5 Minuten vom ZOB","Parkhaus angeschlossen, Tagespreis 2,-?",Kinotag: Montag-Mittwoch/ Samstag und Sonntag: Familientreffen vor 15:00 Uhr,50.80776120,6.47671910,,3995495,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Das Lumen Filmtheater,"",publish,open,closed,"",das-lumen-filmtheater,"","",2022-03-10 17:30:14.000,2022-03-10 16:30:14.000,"",0,http://relaunch.kino.de/?company=das-lumen-filmtheater,0,company,"",0,
3995498,,,n,,,,,y,"04152-77979","04152-77979",,,,"4,-?  bis 13,-?",53.43299650,10.37209280,,3995498,111419,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Kleines Theater Schillerstraße,"",publish,open,closed,"",kleines-theater-schillerstrasse,"","",2017-06-07 14:34:50.000,2017-06-07 12:34:50.000,"",0,http://relaunch.kino.de/?company=kleines-theater-schillerstrasse,0,company,"",0,
3995505,,,n,,,,,y,,,http://www.cinestar.de/de/kino/bamberg-cinestar,,,,49.89897950,10.89998590,,3995505,1,2001-11-12 12:00:00.000,2001-11-12 13:00:00.000,"",CineStar - Der Filmpalast,"",publish,open,closed,"",cinestar-der-filmpalast-2,"","",2020-03-27 15:30:22.000,2020-03-27 14:30:22.000,"",0,http://relaunch.kino.de/?company=cinestar-der-filmpalast-2,0,company,"",0,
3995506,,,n,,,,,y,,,,,,,52.16154040,10.54007390,,3995506,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Filmpalast,"",publish,open,closed,"",filmpalast-2,"","",2015-06-02 11:37:20.000,2015-06-02 09:37:20.000,"",0,http://relaunch.kino.de/?company=filmpalast-2,0,company,"",0,
3995509,,,n,,,,,y,,,,,,,53.22354000,8.59630300,,3995509,1,1999-12-06 12:00:00.000,1999-12-06 13:00:00.000,"",Filmpalast Kinocenter,"",publish,open,closed,"",filmpalast-kinocenter,"","",2021-06-07 12:30:23.000,2021-06-07 10:30:23.000,"",0,http://relaunch.kino.de/?company=filmpalast-kinocenter,0,company,"",0,
3995510,,T,n,,,,,n,,"0 30/44 35 94 98",,U8 Rosenthaler Platz,,,52.53314490,13.40124490,,3995510,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Acud Kino,"",publish,open,closed,"",acud-kino,"","",2022-03-25 17:30:27.000,2022-03-25 16:30:27.000,"",0,http://relaunch.kino.de/?company=acud-kino,0,company,"",0,
3995511,,,n,,,,,n,,,,,VHS-Parkplatz,,53.36942880,7.20535210,,3995511,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",VHS-Forum,"",publish,open,closed,"",vhs-forum,"","",2015-10-26 10:44:29.000,2015-10-26 09:44:29.000,"",0,http://relaunch.kino.de/?company=vhs-forum,0,company,"",0,
3995512,,,n,,,,,n,,,,,ausreichend vorhanden,,50.51808530,10.96892880,,3995512,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Kino im Badehaus Masserberg,"",publish,open,closed,"",kino-im-badehaus-masserberg,"","",2018-10-15 15:36:11.000,2018-10-15 13:36:11.000,"",0,http://relaunch.kino.de/?company=kino-im-badehaus-masserberg,0,company,"",0,
3995514,,,n,,,,,n,,,https://www.kinoheld.de,Bus und Stra,,regul,54.08792590,12.12017500,,3995514,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Lichtspieltheater Wundervoll Metropol,"",publish,open,closed,"",lichtspieltheater-wundervoll,"","",2021-01-13 16:56:29.000,2021-01-13 15:56:29.000,"",0,http://relaunch.kino.de/?company=lichtspieltheater-wundervoll,0,company,"",0,
3995515,,,n,,,,,n,,,,Busanbindung,vor dem Kino,"6.-? regul",47.66560250,9.44552850,,3995515,1,2001-02-15 12:00:00.000,2001-02-15 13:00:00.000,"",Studio 17,"",publish,open,closed,"",studio-17,"","",2015-11-09 18:01:55.000,2015-11-09 17:01:55.000,"",0,http://relaunch.kino.de/?company=studio-17,0,company,"",0,
3995516,,,n,,,,,y,,,http://www.yorck.de,"Tram: M1 Hermann-Hesse-Str., Waldstr./ Bus: 107,150,250 Hermann-Hesse-Str., Waldstr.",,"Dienstag bis Sonntag: 10,00 ?/ Montag: 7,50 ?/ Kinderfilme vor 18.00 Uhr: 6,00 ?",52.58056550,13.40176350,,3995516,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Blauer Stern,"",publish,open,closed,"",blauer-stern,"","",2022-03-15 13:30:40.000,2022-03-15 12:30:40.000,"",0,http://relaunch.kino.de/?company=blauer-stern,0,company,"",0,
3995517,,,n,,,,,y,,,,,geb,,52.08604390,13.17133800,,3995517,1,2000-08-11 12:00:00.000,2000-08-11 13:00:00.000,"",Union Filmtheater,"",publish,open,closed,"",union-filmtheater,"","",2019-11-28 14:30:27.000,2019-11-28 13:30:27.000,"",0,http://relaunch.kino.de/?company=union-filmtheater,0,company,"",0,
3995519,,,n,,,,,n,,,,,,,51.35989320,11.10863980,,3995519,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Stuki 76,"",publish,open,closed,"",stuki-76,"","",2015-06-02 11:37:21.000,2015-06-02 09:37:21.000,"",0,http://relaunch.kino.de/?company=stuki-76,0,company,"",0,
3995520,,,n,,,,,n,,,,,,,53.37540100,7.20201700,,3995520,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Neues Theater Emden,"",publish,open,closed,"",neues-theater-emden,"","",2015-10-26 10:44:30.000,2015-10-26 09:44:30.000,"",0,http://relaunch.kino.de/?company=neues-theater-emden,0,company,"",0,
3995523,,,n,,,,,n,"08071-6206",,,vorhanden,,,48.06098500,12.23192450,,3995523,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Utopia,"",publish,open,closed,"",utopia,"","",1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",0,http://relaunch.kino.de/?company=utopia,0,company,"",0,
3995527,,,n,,,,,y,,,http://www.cinestar.de/de/kino/berlin-cinestar-cubix-am-alexanderplatz,,,,52.52051540,13.41175320,,3995527,1,2001-11-12 12:00:00.000,2001-11-12 13:00:00.000,"",CineStar - CUBIX Filmpalast,"",publish,open,closed,"",cinestar-cubix-filmpalast,"","",2021-07-01 10:30:15.000,2021-07-01 08:30:15.000,"",0,http://relaunch.kino.de/?company=cinestar-cubix-filmpalast,0,company,"",0,
3995529,,,n,,,,,n,,,,,,,51.48657730,11.96629360,,3995529,1,2001-02-15 12:00:00.000,2001-02-15 13:00:00.000,"",Zazie,"",publish,open,closed,"",zazie,"","",2022-02-11 11:32:18.000,2022-02-11 10:32:18.000,"",0,http://relaunch.kino.de/?company=zazie,0,company,"",0,
3995532,,,n,,,,,y,,,http://www.kinopolis.de/ko,,,,50.38837390,7.56571380,,3995532,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Kinopolis Koblenz,"",publish,open,closed,"",kinopolis-koblenz,"","",2022-07-01 15:30:15.000,2022-07-01 13:30:15.000,"",0,http://relaunch.kino.de/?company=kinopolis-koblenz,0,company,"",0,
3995533,,,n,,,,,y,,"0180-5050644",,U7 - Rathaus Neuk,Parkhaus im Geb,,52.48248910,13.43267980,,3995533,1,2000-09-07 12:00:00.000,2000-09-07 13:00:00.000,"",Cineplex Neukölln in den Neukölln Arcaden,"",publish,open,closed,"",cineplex-neukoelln-in-den-neukoelln-arcaden,"","",2020-01-14 11:30:34.000,2020-01-14 10:30:34.000,"",0,http://relaunch.kino.de/?company=cineplex-neukoelln-in-den-neukoelln-arcaden,0,company,"",0,
3995534,,,n,,,,,n,,,,,,"3,50?, erm. 2,40? / ab 120 Min. Filml",51.75446000,14.33332960,,3995534,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Obenkino im Glad-House,"",publish,open,closed,"",obenkino-im-glad-house,"","",2015-06-02 11:37:21.000,2015-06-02 09:37:21.000,"",0,http://relaunch.kino.de/?company=obenkino-im-glad-house,0,company,"",0,
3995544,,"Einer der ältesten studentischen Filmclubs in Deutschland (seit 1967) mit einer bunten Mischung aus Kunst-, Kommerz- und Programmkino. Auch für Zuschauer zugänglich, die keine Studenten sind.",n,,,,,n,"0234-3223364",,,U35 ab Hbf Bochum bis Ruhr Universität Bochum,vorhanden,Semesterausweis (pro Semester f,51.44590300,7.25942250,,3995544,1,2001-11-12 12:00:00.000,2001-11-12 13:00:00.000,"",Studienkreis Film HZO 20,"",publish,open,closed,"",studienkreis-film-hzo-20,"","",2015-06-02 11:37:21.000,2015-06-02 09:37:21.000,"",0,http://relaunch.kino.de/?company=studienkreis-film-hzo-20,0,company,"",0,
3995545,LUX. Kino am Zoo,,n,,,,,n,,,,"Tram: 3,8,12,95",gegen,"3,00? bis 6,50?",51.50495600,11.95942850,,3995545,1,2001-02-15 12:00:00.000,2001-02-15 13:00:00.000,"",Luchs-Kino am Zoo,"",publish,open,closed,"",lux-kino-am-zoo,"","",2020-06-18 10:30:13.000,2020-06-18 08:30:13.000,"",0,http://relaunch.kino.de/?company=lux-kino-am-zoo,0,company,"",0,
3995546,,erstmalig er,n,,,,,n,,"037422-2637",,Bus,"",gestaffelt nach Rang und Caf,50.31106900,12.33511450,,3995546,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Harmonie-Lichtspiele (Kino-Café),"",publish,open,closed,"",harmonie-lichtspiele,"","",2022-04-05 17:30:22.000,2022-04-05 15:30:22.000,"",0,http://relaunch.kino.de/?company=harmonie-lichtspiele,0,company,"",0,
3995549,,,n,,,,,n,,,,,,,51.25797400,7.14954500,,3995549,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Rex Filmtheater Elberfeld,"",publish,open,closed,"",rex-filmtheater-elberfeld,"","",2015-06-02 11:37:21.000,2015-06-02 09:37:21.000,"",0,http://relaunch.kino.de/?company=rex-filmtheater-elberfeld,0,company,"",0,
3995553,,,n,,,,,y,,,http://www.cinestar.de/de/kino/guetersloh-cinestar,,,,51.90690010,8.38364670,,3995553,1,2000-10-10 12:00:00.000,2000-10-10 13:00:00.000,"",CineStar - Der Filmpalast,"",publish,open,closed,"",cinestar-der-filmpalast-3,"","",2020-01-10 13:30:51.000,2020-01-10 12:30:51.000,"",0,http://relaunch.kino.de/?company=cinestar-der-filmpalast-3,0,company,"",0,
3995556,,,n,,,,,n,"0731-88015171","0731-9855598",http://www.cineplex.de/kino/programm/city63/site223/?scope=week,ja,nein,,48.40157550,9.99677500,,3995556,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Lichtburg,"",publish,open,closed,"",lichtburg,"","",2015-06-02 11:37:21.000,2015-06-02 09:37:21.000,"",0,http://relaunch.kino.de/?company=lichtburg,0,company,"",0,
3995560,,,n,,,,,n,,,,,,,52.64450500,14.36003290,,3995560,1,2001-02-15 12:00:00.000,2001-02-15 13:00:00.000,"",Haus Lichtblick,"",publish,open,closed,"",haus-lichtblick,"","",2015-06-02 11:37:21.000,2015-06-02 09:37:21.000,"",0,http://relaunch.kino.de/?company=haus-lichtblick,0,company,"",0,
3995563,,,n,,,,,n,,,https://www.kinoheld.de,"Bahn, Stra",Parkh,"normal 8,00 ?, erm",50.97517200,11.03425250,,3995563,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Kinoklub am Hirschlachufer,"",publish,open,closed,"",kinoklub-am-hirschlachufer,"","",2022-02-04 21:36:14.000,2022-02-04 20:36:14.000,"",0,http://relaunch.kino.de/?company=kinoklub-am-hirschlachufer,0,company,"",0,
3995565,Kino in der Kulturfabrik,,n,,,,,n,"030-3944344",,,"BUS 123, S+U Hauptbahnhof, U Reinickendorfer Str., S+U Wedding
","","normal ? 6,00/ erm",52.53316210,13.35982830,,3995565,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Filmrauschpalast,"",publish,open,closed,"",filmrauschpalast,"","",2020-01-22 11:30:48.000,2020-01-22 10:30:48.000,"",0,http://relaunch.kino.de/?company=filmrauschpalast,0,company,"",0,
3995571,,,n,,,,,y,,,http://www.cinestar.de/de/kino/saarbruecken-cinestar,,,,49.23924100,6.98018700,,3995571,1,2000-10-10 12:00:00.000,2000-10-10 13:00:00.000,"",CineStar - Der Filmpalast,"",publish,open,closed,"",cinestar-der-filmpalast-4,"","",2020-03-30 15:30:43.000,2020-03-30 13:30:43.000,"",0,http://relaunch.kino.de/?company=cinestar-der-filmpalast-4,0,company,"",0,
3995572,,,n,,,,,y,"08807-940991",,,,,,47.94805240,11.10501070,,3995572,1,2001-11-12 12:00:00.000,2001-11-12 13:00:00.000,"",Kinowelt am Ammersee,"",publish,open,closed,"",kinowelt-am-ammersee,"","",2015-11-11 15:42:33.000,2015-11-11 14:42:33.000,"",0,http://relaunch.kino.de/?company=kinowelt-am-ammersee,0,company,"",0,
3995574,,"Di. und Fr. Kinotage: alle Filme 5,50? 2D / 8,90? 3D 
",n,,,,,y,"035752-94880","03 57 52/9 48 80",,Haltestelle direkt vor dem Kino,"600",,51.48079830,13.84739020,,3995574,1,2001-02-15 12:00:00.000,2001-02-15 13:00:00.000,"",Extra-Kinowelt im Freizeitpark Wandelhof,"",publish,open,closed,"",extra-kinowelt-im-freizeitpark-wandelhof,"","",2015-06-02 11:37:21.000,2015-06-02 09:37:21.000,"",0,http://relaunch.kino.de/?company=extra-kinowelt-im-freizeitpark-wandelhof,0,company,"",0,
3995575,,,n,,,,,n,,"03596/5099475",,,"100 Parkplätze",,52.13140220,11.63960240,,3995575,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",Grenzland Lichtspiele,"",publish,open,closed,"",grenzland-lichtspiele,"","",2016-11-22 15:31:08.000,2016-11-22 14:31:08.000,"",0,http://relaunch.kino.de/?company=grenzland-lichtspiele,0,company,"",0,
3995578,,,n,,,,,y,,"03695/628858",http://www.pab-kino.de/content/spielplan.php,,"400",,50.80988090,10.22045990,,3995578,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"",pab Kinocenter,"",publish,open,closed,"",pab-kinocenter,"","",2021-07-05 14:30:22.000,2021-07-05 12:30:22.000,"",0,http://relaunch.kino.de/?company=pab-kinocenter,0,company,"",0,
3995580,,,n,,,,,n,,,,"Bus- und Straßenbahnhaltestelle Stadttheater / Universität
",,"1,50 ?",47.99503600,7.84583500,,3995580,1,1998-12-13 12:00:00.000,1998-12-13 13:00:00.000,"","aka-Filmclub (HS 2006, KG II der Uni Freiburg)","",publish,open,closed,"",aka-filmclub-hs-2006-kg-ii-der-uni-freiburg,"","",2015-06-02 11:37:22.000,2015-06-02 09:37:22.000,"",0,http://relaunch.kino.de/?company=aka-filmclub-hs-2006-kg-ii-der-uni-freiburg,0,company,"",0,
3995584,,,n,,,,,y,"0331-2337233","0331-2337233",http://www.uci-kinowelt.de/Potsdam/Programm,,Problemloses und g,,52.39280450,13.06594980,,3995584,1,1999-12-15 12:00:00.000,1999-12-15 13:00:00.000,<p>United Cinemas International (UCI) betreibt Kinos in Gro,UCI Luxe Potsdam,"",publish,open,closed,"",uci-kinowelt-potsdam,"","",2022-02-04 21:37:26.000,2022-02-04 20:37:26.000,"",0,http://relaunch.kino.de/?company=uci-kinowelt-potsdam,0,company,"",0,
